stadiumXmonth,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
14|2025-10,143,87,20,0.1286505348507163,0.13986013986013987,1.0871322068146159,6.023776223776223,0.8424861851435278,0.0988137307564074,0.1942811127321646,0.7657692416081547,1.4035134167520125,0.5926064822357958,1.0904463953379246
15|2025-08,155,83,22,0.1319162882150866,0.14193548387096774,1.0759511641166333,5.925806451612903,0.8410822060353799,0.10195761344818138,0.1941990239860022,0.7691108130228834,1.388546996510436,0.6005785539638332,1.0887328798185938
12|2025-07,152,96,21,0.12717084448931715,0.13815789473684212,1.0863959840138353,6.073026315789474,0.8390365304709143,0.09841655478385913,0.19055527166759922,0.7648103638812506,1.4162090426769876,0.5927409210876718,1.0937369072897902
7|2025-07,175,114,24,0.12643356916252402,0.13714285714285715,1.0847028842993973,6.098285714285715,0.8363363265306124,0.09986369174230694,0.18547092679869306,0.7734814842547136,1.4245092457042807,0.5961735862544741,1.0979663521475256
7|2026-01,236,149,33,0.12942589557854317,0.13983050847457626,1.0803905033805152,5.977542372881355,0.835842789428325,0.10676544435762969,0.18106006006894815,0.8175157578140785,1.3443848397040445,0.6323163537696088,1.034289064730827
13|2026-03,205,145,28,0.1261579981051312,0.13658536585365855,1.082653243592514,6.114634146341465,0.8351695419393221,0.10184073054944795,0.18079757788390308,0.7838397668123509,1.368733312985852,0.6054595703125001,1.0557797015392891
12|2025-06,160,95,22,0.12686301264298022,0.1375,1.0838462459263407,6.065,0.8339375000000001,0.09871301488627415,0.18834262232545118,0.7787149496828941,1.398122075627802,0.5993497963789152,1.076812790557485
11|2025-09,125,91,17,0.12566192554824487,0.136,1.0822689482645726,6.1248,0.8329728,0.09322514726163095,0.19419811144200916,0.7063833563355775,1.4703040341861384,0.5453484483696648,1.1325762623327793
22|2026-01,189,110,26,0.1282338810607597,0.13756613756613756,1.072775279264581,6.050793650793651,0.8323843117493911,0.10144337727695378,0.1839189678510308,0.793005180285849,1.3885507775657957,0.6156419923483669,1.0759211880830764
14|2025-11,82,51,11,0.12416851570240525,0.13414634146341464,1.0803571316332978,6.180487804878048,0.8290898274836407,0.08381187785929634,0.207851954832883,0.6231933346154911,1.5609577857583892,0.47620974546208633,1.1974208581668226
10|2026-02,115,66,16,0.1293556366763759,0.1391304347826087,1.075565304747311,5.95304347826087,0.8282495274102081,0.09430396430981669,0.2005465791365963,0.7044396505183824,1.4511409602055363,0.5440202372532155,1.1153265417982055
8|2026-02,92,63,12,0.12032720044733303,0.13043478260869565,1.084000808826153,6.339130434782608,0.8268431001890358,0.08309874865049408,0.19888625961926806,0.6341328993891835,1.603625410555856,0.48394545719801013,1.2225406781950623
22|2025-08,156,100,21,0.1255816749373753,0.1346153846153846,1.0719349354315764,6.137179487179487,0.8261587771203155,0.09584719065453529,0.18584141631606,0.7632550384334065,1.3883989161684527,0.5880408634068642,1.0699453418301896
18|2025-07,148,88,20,0.12695208636133626,0.13513513513513514,1.0644577730728106,6.112837837837838,0.8260591672753835,0.09541355815026895,0.18795719567408145,0.7526369755349255,1.3956747540243808,0.581388141511542,1.0856557218562888
15|2025-05,152,97,21,0.13004750644661103,0.13815789473684212,1.0623648119970734,5.969736842105263,0.8247662742382272,0.09841655478385913,0.19055527166759922,0.7623835675528905,1.3854870803103088,0.5916812583021375,1.0747877011934655
1|2025-05,174,104,23,0.1231044138957607,0.13218390804597702,1.0737544159700434,6.232758620689657,0.8238703923900121,0.0955300490742378,0.1801010516939628,0.7734817682309789,1.3995084512653628,0.5937794049710811,1.074786886575122
2|2025-08,76,55,10,0.12244013050203315,0.13157894736842105,1.074639065059116,6.2486842105263145,0.8221952908587256,0.08030345369637473,0.20818376661407642,0.6102901158028743,1.5795900459110181,0.4645558977610402,1.208518849271049
2|2025-12,62,49,8,0.11984716913019498,0.12903225806451613,1.0766400157882994,6.366129032258065,0.8214360041623309,0.07426068242789265,0.21482650323751856,0.5279144156608021,1.6768214249407418,0.4028964817991312,1.273030931122449
21|2026-01,118,71,16,0.12716487794837417,0.13559322033898305,1.066278854087609,6.0313559322033905,0.8178109738580869,0.09185880400279733,0.19566356208715785,0.723158229380209,1.4363962056711637,0.5547062990485454,1.1018388406818678
5|2025-10,143,91,19,0.12496664138557058,0.13286713286713286,1.0632208035197666,6.148951048951049,0.816993496014475,0.09293148588280337,0.18643704388710008,0.7241521797089872,1.4192695373681008,0.5568256760601618,1.092313174823073
23|2025-07,189,114,26,0.13026934849502353,0.13756613756613756,1.0560130925303028,5.937037037037038,0.8167352537722908,0.10144337727695378,0.1839189678510308,0.7769727600982629,1.339945584039458,0.6002817325787143,1.037369982037464
3|2025-05,31,23,4,0.120018068970394,0.12903225806451613,1.0751069332430747,6.322580645161291,0.8158168574401665,0.05927250137645876,0.25834716461930285,0.310801162308193,1.9984498131569313,0.23514668367346944,1.5096096456814987
9|2026-03,70,41,10,0.1376436411971344,0.14285714285714285,1.037876807200571,5.7042857142857155,0.8148979591836736,0.08734871453998375,0.22494581453442117,0.6073477443289086,1.4505101617924248,0.47589703479430995,1.1414869721724588
