stadium,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,mean_odds_low,mean_odds_high,ev_all_buy,ev_actual_low,ev_actual_high,ev_actual_corrected,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi,ev_corrected_boot_lo,ev_corrected_boot_hi
13,6201,1844,1323,0.2771610810463727,0.21335268505079827,0.7697786581193972,3.4442831801322367,3.4442831801322367,6.875842606031285,0.6109982260925657,0.6109982260925657,1.1993388163199483,0.7551416706982744,0.20492137498994875,0.2220340188309112,0.7467633762541424,0.7931194637515001,0.5877039315545919,0.6339712293814567,0.7262277753841265,0.7843988651343061
11,6940,2053,1511,0.28273308817817483,0.21772334293948126,0.7700667238575017,3.34449567723343,3.34449567723343,6.636455331412104,0.609884726224784,0.609884726224784,1.155792507204611,0.7436321325648416,0.20968564270930862,0.2259810472464432,0.7494753087160583,0.7908663898693347,0.5889468650439681,0.6308057841678136,0.716771147715071,0.7701417179839354
16,7267,2111,1566,0.28486930517394277,0.21549470207788635,0.7564686618177556,3.3204073207651024,3.3204073207651024,10.563354891977431,0.6036191000412825,0.6036191000412825,1.6729186734553458,0.865597495527728,0.20766783536798275,0.22353333567211495,0.7359587709284451,0.7767315638389894,0.5824522530265607,0.6235108429475157,0.8186247337152371,0.9116279231101245
23,6672,1978,1409,0.2772374782985156,0.2111810551558753,0.7617334295923944,3.431684652278177,3.431684652278177,6.523845923261391,0.600089928057554,0.600089928057554,1.0728717026378898,0.7159214628297363,0.20308002592667876,0.21951622571177296,0.7397644049210296,0.7840136095766523,0.5798997682428584,0.6210847266541427,0.6917320198722059,0.7409778956258839
22,6732,1992,1418,0.27831148974047415,0.21063576945929888,0.7568346159754922,3.419964349376114,3.419964349376114,7.105629827688651,0.5984699940582293,0.5984699940582293,1.1959893048128343,0.7448622251931075,0.20257835445874744,0.2189256779206965,0.7346913373279408,0.778232958002937,0.5778295893976407,0.6199180506612137,0.7151256628676281,0.774638939006898
15,7628,2234,1597,0.2778273028580742,0.20936025170424752,0.7535625532498419,3.436156266386995,3.436156266386995,8.105846879916099,0.5962113266911379,0.5962113266911379,1.3552176192973255,0.7821678683796538,0.20180168050385738,0.217124921400779,0.733952361743297,0.7739797228534794,0.576246273456527,0.617480969925773,0.7491018817451737,0.8209059811422489
20,7821,2199,1631,0.277052375010881,0.2085411072752845,0.7527136602495981,3.41879555044112,3.41879555044112,6.633167114179773,0.5919703362741336,0.5919703362741336,1.1093338447768828,0.7187243958573072,0.20108628528132558,0.2161975101429022,0.7328807704062094,0.7729992431869213,0.5732671731788019,0.6111522723240774,0.6952629067578161,0.7428051226519254
21,7707,2213,1576,0.2765697680193298,0.20448942519787205,0.7393773609542892,3.410289347346568,3.410289347346568,9.240703256779552,0.585078500064876,0.585078500064876,1.4751005579343455,0.803133904242896,0.1970368543001157,0.2121494013452233,0.7197784984285746,0.7589819525233983,0.5659955608231525,0.6042751220797835,0.772721305264159,0.8330465333712603
18,6913,2080,1410,0.27839173099194625,0.2039635469405468,0.7326494440542395,3.4197454072038185,3.4197454072038185,7.854853175177202,0.5712570519311442,0.5712570519311442,1.2411254158831186,0.7353748010993779,0.1961086403809981,0.21205008264703243,0.7109579324244567,0.7544485138014324,0.5504971165050979,0.592065616632413,0.7081072181794784,0.7630227602847788
19,7234,2088,1461,0.2799283269930751,0.20196295272325132,0.7214809408275693,3.396585568150401,3.396585568150401,7.845272325131324,0.5666436273154548,0.5666436273154548,1.2118053635609622,0.7247082526956041,0.19431103234103667,0.20983772373203793,0.7017959929389805,0.741614666805495,0.5476738619861118,0.5866043038072585,0.7001241371141016,0.7514258247667539
24,7729,2287,1486,0.27532606618109423,0.19226290593867254,0.6983098571285025,3.4625954198473283,3.4625954198473283,6.5193686117220855,0.5589468236511839,0.5589468236511839,1.0415707077241558,0.677189675249062,0.1849980253539938,0.1997431584295214,0.6782442650017387,0.7202413636237184,0.5397869653087665,0.5798480391081255,0.6529539654971127,0.7029148414563762
7,7751,2247,1527,0.2784043269884467,0.1970068378273771,0.7076285054849473,3.416152754483292,3.416152754483292,12.75915365759257,0.5496065023867888,0.5496065023867888,1.8363953038317633,0.8648697587408075,0.18968214662700628,0.20454297919488612,0.6867218701245986,0.7287178025058744,0.5299390272744682,0.568651119269535,0.8278366244548219,0.9028960877240617
