stadiumXcourse,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
7|1,1821,1161,299,0.12963182684734667,0.1641954969796815,1.2666295073742708,5.977210323997803,0.9814310197009024,0.1504163332720848,0.17897102073922128,1.1649702643257538,1.366987476722382,0.9022262679525969,1.0602358930216103
12|3,13,12,2,0.12064555806532676,0.15384615384615385,1.2751911990232558,6.315384615384615,0.9715976331360947,0.05229044044675821,0.3746634865978268,0.0,2.8058162705873015,0.0,2.117129629629629
1|1,1247,781,190,0.12603809051742376,0.15236567762630313,1.2088859566246744,6.115396952686448,0.9317766006498998,0.13638001163851005,0.16985656181568548,1.0861795339998892,1.3347232567805885,0.8364336100085902,1.0295739116142817
3|2,34,31,5,0.12104368816872339,0.14705882352941177,1.214923518559892,6.320588235294117,0.9294982698961938,0.07346296031516054,0.2726848489383705,0.46488952931562216,2.192568824432364,0.35443672839506174,1.6782666666666668
24|1,2228,1317,346,0.13149859583527068,0.15529622980251345,1.1809725329466958,5.9107271095152605,0.917913635499228,0.14309378923818633,0.16833482826477253,1.1002262995452357,1.264269163420671,0.8555216633687102,0.9826033011270834
20|1,1637,1007,254,0.13271887943066898,0.15516188149053145,1.1691018049288644,5.892302993280391,0.9142608187496758,0.14101288494098851,0.17044885615813393,1.0704827252243025,1.2676611284003712,0.8370981149307695,0.9916545945664711
1|3,29,27,4,0.11578855509342037,0.13793103448275862,1.1912320209149625,6.5551724137931044,0.9041617122473248,0.06346509098848885,0.27419016698226123,0.3181130773207266,2.2520990873645306,0.2419374020184205,1.7018678963354885
5|1,1311,880,192,0.1262274218272395,0.14645308924485126,1.1602319616833616,6.105644546147978,0.8941905056143492,0.13111964284659025,0.16324277754583613,1.0374668957375919,1.2773747824146535,0.8001415959271573,0.9847113126252894
2|2,22,20,3,0.11881395499024285,0.13636363636363635,1.1477072400698614,6.45,0.8795454545454545,0.055841321138021593,0.2965307475141376,0.0,2.3467710186104522,0.0,1.786028571428571
13|1,1570,977,229,0.12810188995286256,0.14585987261146496,1.1386238927867245,6.027898089171974,0.8792284474015172,0.13181660322880112,0.16112160467136238,1.0332536075903167,1.2452486133628193,0.7973853543179291,0.9626055814833105
15|1,1812,1087,270,0.13231330219769508,0.1490066225165563,1.1261650948286288,5.8903973509933785,0.8777082145519935,0.1357703643503098,0.16328947233322966,1.0358959937537109,1.2193133533763074,0.8071836607649039,0.9500092850215487
23|1,1641,981,240,0.13088630379357777,0.14625228519195613,1.1173994600887516,5.944911639244363,0.8694569125037459,0.13248662409936846,0.16118248553917075,1.015161706389144,1.215304027665302,0.7902726763016126,0.945713948885711
18|1,2248,1270,328,0.1304246881681034,0.14590747330960854,1.1187105398446457,5.9576512455516015,0.8692658400982763,0.13408635175626923,0.1585798947768949,1.0373678184639197,1.2027054172818028,0.8059177607144778,0.9347690761476479
6|1,1564,1008,222,0.12713688764650652,0.14194373401534527,1.116463810330232,6.0595907928388755,0.8601209437405565,0.1280461626457099,0.15707795995696472,1.01263430978125,1.2221731594021408,0.7804995059419054,0.9414190240483613
15|2,30,28,4,0.1180068531914304,0.13333333333333333,1.1298778818975908,6.446666666666666,0.8595555555555555,0.06129713455799518,0.26603402473374427,0.3331869931913075,2.033521458930847,0.2546491249999999,1.5381658387802633
17|1,1718,1059,240,0.12552034433310758,0.13969732246798602,1.112945660005962,6.135331781140861,0.8570894222781179,0.1265056259071336,0.15402205954747705,1.005397712294175,1.2192386036219875,0.774455693252528,0.9383949317441824
3|1,517,381,71,0.12303902797163503,0.13733075435203096,1.1161560410221274,6.240425531914894,0.8570023457755463,0.11431265984734267,0.1641249001839503,0.9328767822112105,1.3144221168449073,0.7170012766044285,1.0090297082116888
22|1,1766,1089,253,0.1303376812087657,0.1432616081540204,1.0991572569451658,5.9672706681766705,0.8548807922133056,0.13009429621246024,0.1575203072113788,1.002682050003926,1.195255809216543,0.7804715240222372,0.9299465044866772
19|1,1798,1102,253,0.12852554058683816,0.1407119021134594,1.0948166525577658,6.030812013348165,0.8486070296869221,0.12776244930271916,0.15474100902412177,0.9986697597192609,1.1943476482053472,0.7733688964134143,0.9256074075581128
9|1,1904,1106,275,0.1327811876675244,0.14443277310924368,1.0877502728089323,5.874737394957983,0.8485046132423557,0.13168595111489942,0.15818866814741248,0.9978404168283639,1.1782974169141343,0.7784683434535689,0.9191132044810116
9|3,31,25,4,0.11581327655223779,0.12903225806451613,1.1141404673609756,6.5516129032258075,0.8453694068678461,0.05927250137645876,0.25834716461930285,0.3223498616633117,1.9422273807222061,0.24491668087109686,1.4710120241769546
14|1,1011,651,138,0.1252380409560665,0.13649851632047477,1.0899125799034053,6.139663699307615,0.838054985662167,0.11970571817482836,0.15523165910776546,0.9651872887388192,1.2195492147002902,0.7426269082211617,0.9383175239571225
16|1,1616,987,225,0.1294022772261479,0.13923267326732675,1.0759677205989113,5.993626237623763,0.8345086036295463,0.12566955890853015,0.15400177803400228,0.9759134802224769,1.1800029624467332,0.7570024526260124,0.9153364084663935
2|1,582,431,77,0.12159449133348904,0.1323024054982818,1.0880624940107269,6.303780068728523,0.8340052668249077,0.11089344375500051,0.15711418026780508,0.9153766321186377,1.2686290733402499,0.7020187420399059,0.9720054765268544
15|3,16,16,2,0.11376573334720033,0.125,1.0987491252617687,6.6375,0.8296875,0.042265874952325005,0.31621306849838204,0.0,2.405477045465243,0.0,1.8169122130394861
23|3,31,27,4,0.11768517041797226,0.12903225806451613,1.0964190101968105,6.425806451612905,0.829136316337149,0.05927250137645876,0.25834716461930285,0.3019524174790863,1.9765777670611206,0.2281887755102041,1.4919241544495685
11|1,1493,969,205,0.1295489567881587,0.13730743469524448,1.059888385822918,5.977963831212325,0.8208188783647198,0.12331088877982326,0.1526161111970688,0.9494897467157846,1.1616386505143712,0.7351625946350641,0.9003264823573446
12|1,1708,1090,225,0.12487753516282356,0.13173302107728338,1.0548976715909806,6.157201405152225,0.8111067424819969,0.11885311310340091,0.14577778447353396,0.9584407102064582,1.1569939197703378,0.7366295040446301,0.8898151904140127
5|3,16,14,2,0.11828982778589489,0.125,1.0567265363362481,6.44375,0.80546875,0.042265874952325005,0.31621306849838204,0.0,2.1564260355685723,0.0,1.6516444444444442
14|2,40,34,5,0.11893727530779623,0.125,1.0509741346984294,6.3775,0.7971875,0.06219135869811124,0.2353237277859823,0.38545887451710903,1.844928171974407,0.2922473589700039,1.4031427221172024
8|1,1691,1085,222,0.12782652770187714,0.13128326434062684,1.0270424042716053,6.040922531046719,0.7930720295046549,0.11836195057995909,0.14538256226086022,0.9322246433009607,1.1263494268523624,0.7194467929967583,0.8696552893356938
22|2,42,40,5,0.11400302322285674,0.11904761904761904,1.0442496670890995,6.654761904761905,0.7922335600907029,0.0591658425029602,0.22503925763505128,0.3774921211893206,1.7971934645958036,0.2883412098298678,1.3594964983168172
2|3,8,8,1,0.12030571057317493,0.125,1.0390196725031586,6.275,0.784375,0.028399323737810206,0.41114337433001225,0.0,2.867034779080826,0.0,2.161944444444444
21|1,1957,1192,249,0.12806359977393147,0.12723556463975472,0.993534188203061,6.02897291773122,0.7670997733853213,0.11535768383950346,0.1401427127004648,0.9090971981070012,1.0854071498104036,0.7011713946011157,0.8378756402609564
4|1,497,365,59,0.12050425971858847,0.11871227364185111,0.9851292719367585,6.346680080482897,0.7534288224315713,0.09688731205316473,0.1446660287798129,0.8050200930457319,1.1788379794485109,0.6146050521371392,0.9019682411457135
10|1,1632,960,205,0.13122547465583226,0.1256127450980392,0.957228353926601,5.91421568627451,0.7429008674548251,0.1127354684213416,0.13972929204069126,0.8651115093322759,1.0510584233759088,0.671107035309252,0.8152437733104557
7|2,55,51,6,0.11611774668133736,0.10909090909090909,0.9394852398426912,6.527272727272727,0.7120661157024794,0.05747096535051274,0.19736665637284265,0.3474562761800128,1.589120406308471,0.263392,1.2039108542013741
8|3,19,14,2,0.11682907843050175,0.10526315789473684,0.9010013543619182,6.468421052631578,0.6808864265927977,0.03546784880091888,0.2734644508338183,0.0,1.8770400619082035,0.0,1.4145590828924162
18|2,48,44,5,0.11715312816119579,0.10416666666666667,0.8891496821436939,6.516666666666667,0.6788194444444444,0.05163129947319378,0.1989437380589048,0.3451781240412634,1.5774494776320804,0.26438968055555556,1.197388694214876
7|4,11,9,1,0.1099085001495317,0.09090909090909091,0.8271343052212351,6.845454545454545,0.6223140495867768,0.02054953121924344,0.3227818711330894,0.0,2.5623690431369193,0.0,1.9228571428571426
11|2,44,40,4,0.11597297901752301,0.09090909090909091,0.7838816565654914,6.536363636363637,0.5942148760330579,0.04146997717151095,0.1877435735629402,0.21824821199068276,1.361872520472814,0.1653435301610782,1.0303566948473604
17|3,11,9,1,0.12153748805580192,0.09090909090909091,0.7479921821928022,6.2727272727272725,0.5702479338842975,0.02054953121924344,0.3227818711330894,0.0,1.8043797653251656,0.0,1.391817677514793
5|2,45,39,4,0.11856246470154616,0.08888888888888889,0.7497220061395173,6.408888888888888,0.569679012345679,0.040533636021233735,0.18387515756890338,0.1926683544787933,1.3433102042230702,0.14669528201529528,1.0206935920977604
18|3,13,12,1,0.10927081429465534,0.07692307692307693,0.7039672708546787,6.869230769230769,0.5284023668639053,0.017352312196041664,0.28225804308067337,0.0,2.0413878347168954,0.0,1.5285185185185184
6|3,24,21,2,0.12140805629319042,0.08333333333333333,0.6863904742210041,6.316666666666667,0.5263888888888889,0.02797094424668882,0.22312087366076844,0.0,1.4157022467364035,0.0,1.09488751147842
19|2,35,30,3,0.1247781262238674,0.08571428571428572,0.6869335861038952,6.131428571428571,0.5255510204081633,0.034775808929301585,0.19610651384358113,0.17148782786186686,1.3732910778511043,0.13169756379076458,1.0422288223140495
10|3,12,12,1,0.12190441777848891,0.08333333333333333,0.6835956797296497,6.3,0.5249999999999999,0.018816049516361844,0.30116827943986896,0.0,1.918762258183307,0.0,1.4667857403754836
1|2,35,29,3,0.12509715455070766,0.08571428571428572,0.6851817375233883,6.114285714285715,0.5240816326530613,0.034775808929301585,0.19610651384358113,0.16964084117293365,1.3185789880085994,0.13034091823191085,1.0095816405047704
21|3,37,33,3,0.12284564083402476,0.08108108108108109,0.660024080061813,6.213513513513513,0.5037983929875822,0.032868583215041255,0.18638401218539985,0.17897842892872662,1.3304330370402448,0.1360633270321361,1.020817301501455
16|2,41,36,3,0.11841537062430692,0.07317073170731707,0.6179158273250165,6.421951219512195,0.4698988697204045,0.029619805738172522,0.16956644767700293,0.15779222645451224,1.1958029721898222,0.12068964397200263,0.9075156741381728
21|2,48,42,3,0.11709613350921251,0.0625,0.5337494768354826,6.472916666666666,0.40455729166666665,0.025252112488450988,0.14643608688913162,0.15033205230675384,1.0460576483581228,0.11408218276345629,0.7910407598309833
12|2,52,44,3,0.12319556765558759,0.057692307692307696,0.468298566175656,6.28076923076923,0.3623520710059171,0.023289743592634055,0.13584483225524907,0.12722227914513384,0.934089410018302,0.09957025317617067,0.7143822696663606
14|3,18,17,1,0.11711753716798991,0.05555555555555555,0.4743572730347661,6.499999999999999,0.36111111111111105,0.012493195762984896,0.21476688386388865,0.0,1.251243637887508,0.0,0.9491186224489792
7|3,38,34,2,0.11852036789898032,0.05263157894736842,0.44407201800308643,6.405263157894736,0.3371191135734071,0.017572418957625027,0.14716051137795472,0.0,1.039284143460145,0.0,0.7886387364554637
