stadiumXodds_band,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,mean_odds_low,mean_odds_high,ev_all_buy,ev_actual_low,ev_actual_high,ev_actual_corrected,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi,ev_corrected_boot_lo,ev_corrected_boot_hi
"2|[1,5)",6720,2230,1699,0.31421959511758646,0.25282738095238094,0.8046200328714972,2.7863541666666665,2.7863541666666665,5.075029761904762,0.6423065476190475,0.6423065476190475,1.1576190476190478,0.7685581101190475,0.2442070657383695,0.2616466447168453,0.7836000337437967,0.8261889707036898,0.6234296947758564,0.6614272861176916,0.7403589795142207,0.799612768854927
"3|[1,5)",5497,1881,1387,0.3143296750694087,0.2523194469710751,0.8027223230366628,2.7950518464617065,2.7950518464617065,4.805421138802983,0.6383845734036747,0.6383845734036747,1.0822084773512826,0.7471214298708386,0.2428068695206608,0.26207571401310825,0.7810018431323168,0.8258628904680989,0.6186378339305795,0.6590620508754416,0.7227192257412697,0.7725970707956313
"14|[1,5)",6015,2036,1495,0.311347606313034,0.2485453034081463,0.7982887883783978,2.815810473815462,2.815810473815462,5.7987198669991695,0.6346799667497922,0.6346799667497922,1.2528678304239402,0.7861359933499585,0.2394940625677753,0.25782265089446493,0.7771448369797813,0.8204235098182693,0.6162304031033212,0.6545363785205699,0.7515462760929198,0.8234472445300676
"14|[5,10)",1137,953,119,0.13198961428995176,0.10466138962181179,0.792951704456792,6.1789797713280565,6.1789797713280565,12.144942832014072,0.6343007915567282,0.6343007915567282,1.1100263852242744,0.7508535620052771,0.09065557158242776,0.12054419386276902,0.6808529516435609,0.909942505924598,0.542796216310647,0.7272597891860237,0.6420278454807751,0.8620997267352766
"17|[1,5)",6135,2118,1498,0.31148505489554246,0.24417277913610433,0.7838988590254787,2.812828035859821,2.812828035859821,6.178956805215974,0.6295517522412387,0.6295517522412387,1.3880521597392015,0.8153843520782396,0.23526531020060115,0.25330578892164907,0.7619557856543487,0.8071897888506683,0.6099154958192627,0.6503552681747707,0.7736594754216447,0.8677768451512523
"10|[1,5)",5907,2087,1412,0.30890886561221753,0.23903842898256306,0.773815372727551,2.83632977822922,2.83632977822922,5.07941425427459,0.6255628914846791,0.6255628914846791,1.0942949043507704,0.7404022346368715,0.23003155794350721,0.24828424352397954,0.7510852896974513,0.7982003140245648,0.6058188304569979,0.6475743011301948,0.7161784841443936,0.7665962191156471
"17|[5,10)",1138,921,116,0.13148222103113674,0.10193321616871705,0.7752623538704743,6.1948154657293495,6.1948154657293495,13.221441124780316,0.6230228471001757,0.6230228471001757,1.2486818980667838,0.7763093145869947,0.08811205509550205,0.11764265943266533,0.6656497457976267,0.8864735124640706,0.5337690683095007,0.7142437118437122,0.6601442442651202,0.8937374630828544
"6|[5,10)",1253,1008,128,0.13225393288383577,0.10215482841181166,0.7724142956227893,6.166799680766161,6.166799680766161,11.936711891460495,0.6218675179569034,0.6218675179569034,1.1703112529928172,0.7562362330407023,0.08892823933684657,0.11709581208405317,0.670517537028405,0.8787899174449688,0.5385192425276134,0.7081106896124315,0.6541341178806708,0.8623080920662459
"1|[5,10)",1289,1071,130,0.13205819813379377,0.1008533747090768,0.7637040042519584,6.174398758727695,6.174398758727695,11.160589604344453,0.621489526764934,0.621489526764934,1.0923972071373156,0.7368619084561674,0.0878822723822755,0.1154965431576854,0.6641324502533598,0.8661086825131534,0.5393620671565059,0.7060482906542779,0.6376505068301505,0.8369167057806365
"9|[1,5)",5507,1958,1330,0.31032884077725176,0.24151080443072453,0.7782415705412198,2.8234428908661706,2.8234428908661706,5.489395315053568,0.6178863264935536,0.6178863264935536,1.170637370619212,0.7533103323043399,0.2321525697116516,0.2511229016277507,0.7550148614759487,0.8022697945872799,0.5963866905509662,0.6402003054763611,0.7253110004859817,0.7805892332973348
